entry_time,exit_time,type,entry,sl,tp,exit,profit,r_multiple,reason_for_exit,stoch_k,stoch_d,adx,atr,swing_low,swing_high
2026-06-18 08:40:00+00:00,2026-06-18 08:55:00+00:00,SELL,64586.0,64663.648823246855,64430.70235350629,64430.70235350629,0.8355213096720977,0.8355213096720977,TP,81.88469445970502,84.00632384467606,38.40377693941726,84.49411623427712,64524.0,64646.75
2026-06-18 22:50:00+00:00,2026-06-19 03:10:00+00:00,BUY,62865.99,62726.66247010743,63144.64505978513,62726.66247010743,-1.6316941531071838,-1.6316941531071838,SL,34.24067098978784,23.643513033422128,29.34362308147862,76.68764946285326,62742.0,62865.99
2026-06-20 07:05:00+00:00,2026-06-20 07:20:00+00:00,SELL,63655.99,63773.44371077841,63421.08257844317,63773.44371077841,-1.758753260406818,-1.758753260406818,SL,63.39939629251529,83.36393371173035,37.780790926486354,57.268553892063814,63638.0,63761.99
2026-06-25 22:15:00+00:00,2026-06-26 02:10:00+00:00,SELL,59887.05,60300.747301345466,59059.65539730908,59059.65539730908,1.7973352261972169,1.7973352261972169,TP,66.87791076207291,79.6629239818141,28.285597371355323,134.68650672732156,59879.66,60273.81
2026-06-29 18:00:00+00:00,2026-06-30 00:30:00+00:00,SELL,60413.99,60716.13545922107,59809.699081557854,59809.699081557854,1.7200699748457404,1.7200699748457404,TP,78.48959412890567,83.89176008061649,35.725337457851516,161.47729610537115,60404.0,60683.84
2026-06-30 04:35:00+00:00,2026-06-30 05:10:00+00:00,BUY,59664.0,59415.75204952331,60160.49590095338,59415.75204952331,-1.3364764939231337,-1.3364764939231337,SL,26.640773910450815,16.73629389614832,34.25606014875892,88.03975238344087,59433.36,59664.0
2026-06-30 20:25:00+00:00,2026-07-01 00:25:00+00:00,SELL,58720.34,58894.40174152382,58372.21651695235,58372.21651695235,1.5277050816548994,1.5277050816548994,TP,68.78446028560226,83.91772911474978,33.657417179627416,97.0587076191003,58689.6,58874.99
2026-07-01 11:15:00+00:00,2026-07-01 11:55:00+00:00,BUY,58706.0,58572.79012841343,58972.419743173145,58572.79012841343,-1.6169843046998682,-1.6169843046998682,SL,24.571597883166376,17.66977495177732,27.895038594802934,76.04935793284365,58588.0,58742.94
2026-07-02 07:55:00+00:00,2026-07-02 08:05:00+00:00,BUY,60144.33,60087.25555884817,60258.478882303665,60258.478882303665,0.524697565132485,0.524697565132485,TP,10.2420466199401,7.580566152534968,27.848571677814327,87.17220575916113,60104.69,60227.9
2026-07-03 02:00:00+00:00,2026-07-03 05:35:00+00:00,SELL,61588.0,61750.7588244035,61262.482351193,61750.7588244035,-1.5297605233756286,-1.5297605233756286,SL,75.63612235616914,81.92121172458003,27.941384660741196,88.24412201750683,61588.0,61733.11
2025-07-22 23:35:00+00:00,2025-07-23 00:25:00+00:00,SELL,120060.04,120273.56293968578,119632.99412062841,119632.99412062841,1.2128056299367924,1.2128056299367924,TP,75.07624271933697,85.97179226501568,25.78796202571451,128.81469842892528,119966.39,120247.8
2025-07-23 04:15:00+00:00,2025-07-23 06:15:00+00:00,BUY,118706.64,118511.14360405681,119097.63279188638,118511.14360405681,-1.8500887967688784,-1.8500887967688784,SL,23.642064894135178,16.455096417857575,29.802369840159628,109.08197971602827,118532.96,118750.07
2025-07-24 10:50:00+00:00,2025-07-24 14:10:00+00:00,BUY,118292.96,117925.02308391953,119028.83383216096,117925.02308391953,-1.4501047238319964,-1.4501047238319964,SL,29.098366734844813,15.895859827306017,24.142633448773417,152.83458040233694,117955.59,118330.78
2025-07-24 15:25:00+00:00,2025-07-25 00:35:00+00:00,SELL,118920.0,119494.3295857043,117771.3408285914,117771.3408285914,1.7101176673741496,1.7101176673741496,TP,78.1181489670451,87.14206079142356,29.05087612207777,221.6479285215091,118880.0,119450.0
2025-07-25 01:40:00+00:00,2025-07-25 01:50:00+00:00,BUY,117514.28,117300.60895885428,117941.62208229143,117300.60895885428,-1.7699685980740951,-1.7699685980740951,SL,21.756970121964898,13.906028320968455,32.906422266281865,133.4052057285643,117327.29,117703.26
2025-07-25 15:15:00+00:00,2025-07-25 17:05:00+00:00,BUY,115341.47,114853.39019310624,116317.62961378752,116317.62961378752,1.6691564458942072,1.6691564458942072,TP,27.45594646338583,16.92441147384612,27.530304449283793,273.04903446875454,114908.0,115421.77
2025-07-27 16:55:00+00:00,2025-07-27 22:05:00+00:00,SELL,119133.62,119573.87872937592,118253.10254124814,119573.87872937592,-1.3788387529224524,-1.3788387529224524,SL,78.16967375295097,87.24253863240024,33.56034289946588,169.3436468796162,119133.6,119540.01
2025-07-31 03:20:00+00:00,2025-07-31 03:50:00+00:00,SELL,118424.0,118538.44417419143,118195.11165161713,118538.44417419143,-2.4486853627225447,-2.4486853627225447,SL,78.62623427358757,82.42482733404091,33.81196173543878,90.62087095713267,117981.02,118520.32
2025-08-01 07:05:00+00:00,2025-08-01 07:05:00+00:00,BUY,115146.42,115036.87321621695,115365.5135675661,115036.87321621695,-2.471562947199381,-2.471562947199381,SL,15.796441217049269,12.602230508617248,29.42677873655041,143.38391891529545,115065.55,115300.0
2025-08-01 07:55:00+00:00,2025-08-01 07:55:00+00:00,BUY,114760.0,114602.60723883954,115074.78552232092,115074.78552232092,0.9792160782019348,0.9792160782019348,TP,22.862741569439546,15.491042805699395,34.56443189568466,152.86380580229678,114633.18,114892.85
2025-08-01 13:25:00+00:00,2025-08-01 13:40:00+00:00,SELL,115744.14,116059.4299558989,115113.5600882022,115113.5600882022,1.4860546840510223,1.4860546840510223,TP,73.22626271843728,80.00130237075236,35.22123143019799,200.64977949447118,115525.47,116019.3
2025-08-04 08:05:00+00:00,2025-08-04 08:25:00+00:00,SELL,114732.0,114794.57929947047,114606.84140105906,114606.84140105906,-0.5667401418547535,-0.5667401418547535,TP,81.01372539425695,86.80187989409808,36.77682680056695,80.39649735232481,114608.41,114778.5
2025-08-06 01:45:00+00:00,2025-08-06 02:10:00+00:00,BUY,113792.91,113566.16639674078,114246.39720651845,113566.16639674078,-1.702600080928721,-1.702600080928721,SL,32.382907542577954,20.534569029304325,25.73929868033267,113.01801629614576,113588.77,113877.5
2025-08-06 04:30:00+00:00,2025-08-06 04:35:00+00:00,BUY,113464.21,113369.74908265477,113653.13183469047,113369.74908265477,-2.681646743059239,-2.681646743059239,SL,31.04529627790782,20.81084654796124,36.81252890155086,85.70458672615258,113386.89,113494.11
2025-08-09 09:50:00+00:00,2025-08-09 09:55:00+00:00,SELL,117287.99,117457.37611017562,116949.21777964877,117457.37611017562,-1.9694017167626936,-1.9694017167626936,SL,77.52623346488976,80.22344227921404,38.42882317975851,102.28055087812477,117234.99,117436.92
2025-08-12 05:55:00+00:00,2025-08-12 09:55:00+00:00,BUY,118759.99,118401.46435698487,119477.04128603027,118401.46435698487,-1.4637436379773296,-1.4637436379773296,SL,29.473540643753662,16.81662045029236,24.434354519912436,116.97821507562055,118424.86,118760.0
2025-08-12 13:10:00+00:00,2025-08-12 13:30:00+00:00,SELL,118994.41,119345.79555056011,118291.63889887978,119345.79555056011,-1.474100809593484,-1.474100809593484,SL,77.67513773228576,84.1808597542549,28.009601189915198,194.4277528005219,118806.69,119306.91
2025-08-13 15:40:00+00:00,2025-08-13 19:50:00+00:00,BUY,121060.98,120243.64522840656,122695.64954318687,122695.64954318687,1.792636532923248,1.792636532923248,TP,30.112264081429615,19.93890130455537,24.620237523405223,330.42385796716195,120309.73,121060.98
2025-08-15 07:00:00+00:00,2025-08-15 07:35:00+00:00,SELL,119082.83,119238.1556765953,118772.1786468094,118772.1786468094,0.9266683676879766,0.9266683676879766,TP,83.13277427122188,90.12837306496067,25.350133292284738,106.67838297647437,119066.75,119216.82
2025-08-15 14:10:00+00:00,2025-08-15 14:45:00+00:00,BUY,118146.54,117604.01134440268,119231.59731119462,117604.01134440268,-1.3048781926880744,-1.3048781926880744,SL,28.77581746646878,14.736569962485888,38.1262194251703,201.99327798659098,117644.41,118159.62
2025-08-18 13:45:00+00:00,2025-08-18 15:35:00+00:00,SELL,115368.01,115766.89543963864,114570.2391207227,115766.89543963864,-1.4049162941277538,-1.4049162941277538,SL,72.5800561476734,84.95282098218024,30.42669259565356,151.77719819325935,115286.13,115736.54
2025-08-19 00:05:00+00:00,2025-08-19 00:20:00+00:00,BUY,116281.34,116067.6691936858,116708.6816126284,116067.6691936858,-1.7618910547874012,-1.7618910547874012,SL,29.54884742942617,18.151225071749714,27.934707986630062,106.6540315710273,116089.0,116299.0
2025-08-19 09:55:00+00:00,2025-08-19 10:20:00+00:00,SELL,115345.25,115511.64063614815,115012.4687277037,115511.64063614815,-1.9705074380280623,-1.9705074380280623,SL,77.78807256144982,85.07646882245778,27.317354181282933,116.85318074074144,115270.29,115488.27
2025-08-20 15:45:00+00:00,2025-08-20 17:45:00+00:00,SELL,113910.41,114380.46717646897,112970.29564706207,114380.46717646897,-1.339266331806613,-1.339266331806613,SL,73.00989694677214,84.75859292547317,31.133009716273182,270.58588234479805,113910.4,114326.35
2025-08-22 02:50:00+00:00,2025-08-22 03:50:00+00:00,SELL,113382.7,113551.40231765309,113045.29536469381,113045.29536469381,1.0590776569743836,1.0590776569743836,TP,78.80663622222396,82.78272105762461,36.72325218373721,132.01158826543633,113227.53,113525.0
2025-08-25 11:25:00+00:00,2025-08-25 12:25:00+00:00,BUY,111121.58,110895.28778065722,111574.16443868556,111574.16443868556,1.3125251391681867,1.3125251391681867,TP,22.57291392986374,18.119148659861207,28.94589369592338,170.96109671385784,110929.48,111159.05
2025-08-26 19:45:00+00:00,2025-08-26 20:10:00+00:00,SELL,110834.18,111181.44814359909,110139.6437128018,111181.44814359909,-1.44682431965062,-1.44682431965062,SL,68.43090711453182,80.73590179972093,37.90637887618177,169.74071799547866,110830.1,111147.5
2025-08-26 22:30:00+00:00,2025-08-26 23:00:00+00:00,SELL,111642.28,111972.77800998623,110981.28398002754,111972.77800998623,-1.4729202212337447,-1.4729202212337447,SL,76.75416098765338,86.02700582833886,34.4393480146588,135.44004993113384,111627.13,111945.69
2025-09-01 06:05:00+00:00,2025-09-01 06:20:00+00:00,SELL,107675.23,108019.01998167213,106987.65003665573,108019.01998167213,-1.4384808459711413,-1.4384808459711413,SL,74.88985982159147,81.43819406517424,31.74961205060916,158.09990836070398,107675.23,107987.4
2025-09-02 14:55:00+00:00,2025-09-02 18:45:00+00:00,SELL,111291.99,111835.00473567775,110205.96052864451,110205.96052864451,1.713067112616138,1.713067112616138,TP,78.27134394768335,85.39584679374985,39.558165770664104,317.4236783887465,111224.0,111771.52
2025-09-03 08:30:00+00:00,2025-09-03 09:55:00+00:00,SELL,111115.12,111301.79579699182,110741.76840601634,111301.79579699182,-1.8333226401428577,-1.8333226401428577,SL,81.20507390190515,85.96778742405444,25.959872281434148,111.5789849591077,111054.0,111279.48
2025-09-04 04:45:00+00:00,2025-09-04 04:50:00+00:00,BUY,111133.92,111085.97061730531,111229.81876538937,111085.97061730531,-4.244827759112,-4.244827759112,SL,16.501322667219533,12.55198606753873,25.053665870205553,105.14691347346222,111107.0,111229.73
2025-09-07 02:10:00+00:00,2025-09-07 02:50:00+00:00,SELL,110488.51,110597.32586526906,110270.87826946187,110597.32586526906,-2.4215198640154485,-2.4215198640154485,SL,75.35380074086343,85.15945417438296,37.19536254326624,47.32932634524648,110488.51,110587.86
2025-09-07 18:55:00+00:00,2025-09-07 19:05:00+00:00,BUY,110967.52,110850.1486714693,111202.26265706141,111202.26265706141,0.676384344074608,0.676384344074608,TP,33.88387077115397,23.51745398600571,25.92038295777407,55.25664265350581,110861.2,110977.45
2025-09-08 15:40:00+00:00,2025-09-08 19:55:00+00:00,SELL,112643.8,112956.80448579062,112017.79102841877,112017.79102841877,1.4961691376350008,1.4961691376350008,TP,76.72767247257715,86.28476683929902,26.250834849174602,162.1724289531169,112602.27,112924.37
2025-09-08 22:30:00+00:00,2025-09-09 00:20:00+00:00,SELL,112322.71,112527.06382244668,111914.00235510666,111914.00235510666,1.2304925245964826,1.2304925245964826,TP,70.36878298741968,79.18375976064014,39.814493722558105,71.76911223335796,112315.84,112512.71
2025-09-10 02:05:00+00:00,2025-09-10 06:40:00+00:00,BUY,111245.68,110892.45028896886,111952.13942206226,111952.13942206226,1.5590859230234098,1.5590859230234098,TP,43.12814846565333,26.220762626045104,33.34343487731499,124.99855515568301,110917.45,111307.69
2025-09-12 22:05:00+00:00,2025-09-13 01:50:00+00:00,BUY,116026.02,115730.7147471417,116616.63050571662,115730.7147471417,-1.550062778862726,-1.550062778862726,SL,30.031847926271666,17.692540576472496,24.616182897532152,109.82626429146855,115752.68,116064.33
2025-09-14 09:00:00+00:00,2025-09-14 09:20:00+00:00,SELL,115933.4,115989.42766335643,115821.34467328712,115989.42766335643,-3.8969039627342834,-3.8969039627342834,SL,82.8495820556976,90.11945865786208,26.566983537745664,32.03831678215124,115904.13,115983.02
2025-09-14 14:05:00+00:00,2025-09-14 14:40:00+00:00,BUY,115401.54,115198.484992595,115807.65001480999,115198.484992595,-1.7956570885137606,-1.7956570885137606,SL,23.27461127986703,14.213809715390028,39.16248020660965,92.62503702498482,115217.01,115423.62
2025-09-14 18:00:00+00:00,2025-09-14 19:05:00+00:00,SELL,115557.65,115670.37647304249,115332.197053915,115332.197053915,0.5648383593176536,0.5648383593176536,TP,71.21236955690311,80.9668214614717,27.1013045640256,64.38236521242607,115557.65,115657.5
2025-09-17 09:00:00+00:00,2025-09-17 09:20:00+00:00,BUY,116860.01,116665.51095257122,117249.00809485755,116665.51095257122,-1.8411558625237467,-1.8411558625237467,SL,25.262239189822168,19.729212818729888,35.57545385943117,92.39523714392473,116683.99,116883.99
2025-09-18 20:00:00+00:00,2025-09-18 22:50:00+00:00,BUY,117450.21,117173.66124437557,118003.30751124887,117173.66124437557,-1.594579764529132,-1.594579764529132,SL,23.654104407625784,18.3466033955347,24.698741561435956,113.34377812213526,117196.33,117500.0
2025-09-19 15:30:00+00:00,2025-09-19 18:10:00+00:00,BUY,115800.0,115434.50124325922,116530.99751348156,115434.50124325922,-1.4435582803226303,-1.4435582803226303,SL,23.073411369040524,14.899989593853073,32.07450071237583,148.4437837039436,115464.19,115800.0
2025-09-19 18:45:00+00:00,2025-09-19 19:05:00+00:00,BUY,115596.3,115375.6247085099,116037.6505829802,115375.6247085099,-1.7333617592944688,-1.7333617592944688,SL,32.44950888410303,20.287958620036516,36.61433484413161,92.62645745043524,115394.15,115616.01
2025-09-19 23:05:00+00:00,2025-09-19 23:25:00+00:00,SELL,115596.61,115666.69996262838,115456.43007474324,115456.43007474324,-0.30896476372886417,-0.30896476372886417,TP,79.15285451197262,84.90107177205374,36.91075288767072,47.09981314188286,115580.0,115657.28
2025-09-20 06:15:00+00:00,2025-09-20 06:50:00+00:00,SELL,115625.86,115723.66738593171,115430.24522813658,115723.66738593171,-2.6550509192938287,-2.6550509192938287,SL,70.17620930345954,82.58550586326324,28.368225423514083,30.836929658527882,115625.85,115717.5
2025-09-20 07:10:00+00:00,2025-09-20 07:10:00+00:00,SELL,115719.2,115729.41163327241,115698.77673345518,115698.77673345518,-13.864933226470272,-13.864933226470272,TP,80.10288692591982,84.13149449578738,33.45063091949893,25.358166362040407,115686.76,115724.34
2025-09-21 06:40:00+00:00,2025-09-21 07:50:00+00:00,SELL,115728.56,115792.57322827932,115600.53354344136,115792.57322827932,-3.5310391048086145,-3.5310391048086145,SL,88.04537521815053,93.08124119754707,35.707386278010304,25.91614139656394,115728.56,115787.39
2025-09-25 13:20:00+00:00,2025-09-25 13:40:00+00:00,BUY,111509.21,110806.91270797644,112913.80458404713,110806.91270797644,-1.2222889021117889,-1.2222889021117889,SL,46.69965560542594,24.30510777089201,31.590371235587387,227.9364601177529,110852.5,111595.2
2025-09-26 18:00:00+00:00,2025-09-26 18:15:00+00:00,SELL,109900.0,110009.43928731447,109681.12142537106,110009.43928731447,-2.4058936582608723,-2.4058936582608723,SL,84.51386939965597,87.94093154913708,28.955461485632846,147.2464365723044,109763.92,109979.99
2025-09-26 20:10:00+00:00,2025-09-26 23:55:00+00:00,BUY,109228.29,108999.2992563133,109686.27148737338,109686.27148737338,1.332201801967916,1.332201801967916,TP,22.282386762032917,19.500961375330288,27.764018967213644,155.55371843354396,109030.41,109287.09
2025-10-04 14:00:00+00:00,2025-10-04 14:45:00+00:00,SELL,122385.42,122463.94177997945,122228.3764400411,122228.3764400411,-0.18206449274131842,-0.18206449274131842,TP,80.21918325893311,82.38660966642199,28.883461824713585,69.7088998972174,122365.76,122450.0
2025-10-04 15:50:00+00:00,2025-10-04 16:10:00+00:00,BUY,121982.71,121677.06986449653,122593.99027100696,121677.06986449653,-1.558747933149172,-1.558747933149172,SL,33.15565191021286,20.580934635679657,38.00348638037118,109.05067751737734,121698.88,121994.81
2025-10-07 09:50:00+00:00,2025-10-07 10:10:00+00:00,SELL,124134.37,124271.64576306689,123859.81847386621,124271.64576306689,-2.265978160436923,-2.265978160436923,SL,82.49488059749889,86.20274745370266,32.404890347524216,125.02881533444918,124084.57,124246.64
2025-10-10 00:45:00+00:00,2025-10-10 02:05:00+00:00,SELL,121702.07,121883.67317221157,121338.86365557689,121338.86365557689,1.0617845716840644,1.0617845716840644,TP,71.304332636718,78.99361289255647,28.617025543011234,99.66586105780765,121702.06,121863.74
2025-10-10 03:20:00+00:00,2025-10-10 07:55:00+00:00,BUY,121227.73,120871.80114454792,121939.58771090415,120871.80114454792,-1.476833556482616,-1.476833556482616,SL,36.02547013177158,20.925249691455427,34.82768383885353,140.9942772604062,120900.0,121227.73
2025-10-10 09:50:00+00:00,2025-10-10 13:00:00+00:00,SELL,121397.01,121801.6945062494,120587.64098750117,121801.6945062494,-1.4199711414087468,-1.4199711414087468,SL,67.16928421768851,81.13035225013762,26.427629007743313,123.12253124696413,121381.5,121777.07
